,Sim_ID,Season,W,L,Finish,GB
0,87627,1900,74,88,7,38
1,87627,1901,71,91,9,39
2,87627,1902,78,84,6,30
3,87627,1903,90,72,3,6
4,87627,1904,71,91,8,35
5,87627,1905,77,85,5,31
6,87627,1906,71,91,9,28
7,87627,1907,76,86,6,30
8,87627,1908,90,72,2,8
9,87627,1909,78,84,7,25
10,87627,1910,73,89,7,37
11,87627,1911,68,94,8,29
12,87627,1912,78,84,6,27
13,87627,1913,78,84,7,27
14,87627,1914,61,101,10,45
15,87627,1915,79,83,6,23
16,87627,1916,71,91,8,27
17,87627,1917,61,101,10,43
18,87627,1918,70,92,7,27
19,87627,1919,67,95,9,33
20,87627,1920,69,93,8,33
21,87627,1921,71,91,10,22
22,87627,1922,69,93,9,25
23,87627,1923,70,92,8,23
24,87627,1924,79,83,7,26
25,87627,1925,79,83,6,21
26,87627,1926,95,67,3,2
27,87627,1927,66,96,9,40
28,87627,1928,77,85,6,39
29,87627,1929,75,87,8,30
30,87627,1930,74,88,7,46
31,87627,1931,64,98,10,53
32,87627,1932,82,80,5,25
33,87627,1933,68,94,8,40
34,87627,1934,77,85,6,36
35,87627,1935,72,90,8,34
36,87627,1936,81,81,5,33
37,87627,1937,62,100,10,47
38,87627,1938,55,107,10,58
39,87627,1939,62,100,10,38
40,87627,1940,72,90,8,26
41,87627,1941,64,98,9,49
42,87627,1942,63,99,9,53
43,87627,1943,58,104,10,52
44,87627,1944,55,107,10,45
45,87627,1945,65,97,10,36
46,87627,1946,64,98,9,40
47,87627,1947,69,93,9,39
48,87627,1948,61,101,10,41
49,87627,1949,68,94,10,45
50,87627,1950,56,106,10,53
51,87627,1951,75,87,7,31
52,87627,1952,62,100,10,52
53,87627,1953,68,94,10,35
54,87627,1954,65,97,9,39
55,87627,1955,77,85,6,36
56,87627,1956,54,108,10,58
57,87627,1957,63,99,9,43
58,87627,1958,59,103,10,56
59,87627,1959,66,96,9,45
60,87627,1960,63,99,9,48
61,87627,1961,62,100,9,46
62,87627,1962,59,103,10,53
63,87627,1963,69,93,9,41
64,87627,1964,56,106,10,47
65,87627,1965,66,96,9,32
66,87627,1966,73,89,8,29
67,87627,1967,58,104,10,37
68,87627,1968,58,104,9,44
69,87627,1969,65,97,9,35
70,87627,1970,49,113,10,61
71,87627,1971,52,110,10,60
72,87627,1972,61,101,10,42
73,87627,1973,62,100,9,30
74,87627,1974,51,111,10,49
75,87627,1975,75,87,9,30
76,87627,1976,56,106,10,63
77,87627,1977,60,102,9,45
78,87627,1978,75,87,8,23
79,87627,1979,67,95,9,37
80,87627,1980,67,95,10,34
81,87627,1981,68,94,8,37
82,87627,1982,50,112,10,47
83,87627,1983,56,106,10,58
84,87627,1984,49,113,10,61
85,87627,1985,57,105,10,60
86,87627,1986,51,111,10,58
87,87627,1987,60,102,10,50
88,87627,1988,50,112,10,69
89,87627,1989,55,107,10,59
90,87627,1990,56,106,10,52
91,87627,1991,40,122,10,75
92,87627,1992,45,117,10,67
93,87627,1993,52,110,10,56
94,87627,1994,63,99,9,50
95,87627,1995,49,113,10,64
96,87627,1996,47,115,10,64
97,87627,1997,40,122,10,81
98,87627,1998,44,118,10,68
99,87627,1999,54,108,10,56
100,87627,2000,57,105,10,51
101,87627,2001,63,99,9,48
102,87627,2002,56,106,10,55
103,87627,2003,45,117,10,60
104,87627,2004,72,90,9,41
105,87627,2005,66,96,9,52
106,87627,2006,62,100,10,47
107,87627,2007,69,93,9,38
108,87627,2008,57,105,9,54
109,87627,2009,65,97,8,42
110,87627,2010,47,115,10,68
111,87627,2011,39,123,10,70
112,87627,2012,46,116,10,57
113,87627,2013,46,116,10,61
114,87627,2014,40,122,10,76
115,87627,2015,41,121,10,63
116,87627,2016,44,118,10,56
117,87627,2017,45,117,10,64
118,87627,2018,37,125,10,71
119,87627,2019,59,103,10,43
120,87627,2020,48,114,10,63
121,87627,2021,44,118,10,60
122,87627,2022,54,108,10,56
123,87627,2023,41,121,10,70
124,87627,2024,39,123,10,69
125,87627,2025,50,112,10,51
126,87627,2026,49,113,10,56
127,87627,2027,57,105,9,49
128,87627,2028,43,119,10,62
129,87627,2029,43,119,10,57
130,87627,2030,39,123,10,66
131,87627,2031,31,131,10,65
132,87627,2032,38,124,10,60
133,87627,2033,36,126,10,65
134,87627,2034,34,128,10,66
135,87627,2035,22,140,10,89
136,87627,2036,46,116,10,62
137,87627,2037,45,117,10,58
138,87627,2038,41,121,10,65
139,87627,2039,39,123,10,69
140,87627,2040,33,129,10,87
141,87627,2041,41,121,10,72
142,87627,2042,45,117,10,64
143,87627,2043,38,124,10,84
144,87627,2044,32,130,10,80
145,87627,2045,33,129,10,83
146,87627,2046,34,128,10,77
147,87627,2047,36,126,10,79
148,87627,2048,41,121,10,74
149,87627,2049,33,129,10,88
150,87627,2050,24,138,10,79
151,88613,1900,73,89,8,24
152,88613,1901,79,83,5,19
153,88613,1902,79,83,6,17
154,88613,1903,80,82,6,17
155,88613,1904,71,91,10,29
156,88613,1905,65,97,10,34
157,88613,1906,75,87,8,23
158,88613,1907,72,90,10,22
159,88613,1908,72,90,9,24
160,88613,1909,76,86,7,21
161,88613,1910,70,92,8,26
162,88613,1911,66,96,10,35
163,88613,1912,67,95,9,28
164,88613,1913,77,85,7,15
165,88613,1914,77,85,7,19
166,88613,1915,75,87,8,22
167,88613,1916,73,89,9,17
168,88613,1917,68,94,10,27
169,88613,1918,77,85,7,20
170,88613,1919,70,92,9,30
171,88613,1920,67,95,9,26
172,88613,1921,67,95,10,27
173,88613,1922,77,85,7,21
174,88613,1923,65,97,10,26
175,88613,1924,56,106,10,42
176,88613,1925,65,97,9,38
177,88613,1926,74,88,9,22
178,88613,1927,71,91,9,19
179,88613,1928,75,87,7,16
180,88613,1929,61,101,10,50
181,88613,1930,70,92,10,31
182,88613,1931,55,107,10,41
183,88613,1932,92,70,2,15
184,88613,1933,84,78,5,18
185,88613,1934,77,85,5,29
186,88613,1935,82,80,5,18
187,88613,1936,72,90,9,22
188,88613,1937,86,76,5,15
189,88613,1938,82,80,5,18
190,88613,1939,63,99,10,42
191,88613,1940,83,79,6,18
192,88613,1941,75,87,8,27
193,88613,1942,88,74,3,4
194,88613,1943,81,81,6,17
195,88613,1944,69,93,7,37
196,88637,1900,73,89,7,34
197,88637,1901,69,93,7,37
198,88637,1902,63,99,9,46
199,88637,1903,67,95,10,31
200,88637,1904,76,86,6,33
201,88637,1905,70,92,8,42
202,88637,1906,82,80,5,32
203,88637,1907,75,87,7,27
204,88637,1908,92,70,4,16
205,88637,1909,92,70,4,16
206,88637,1910,90,72,3,10
207,88637,1911,75,87,7,31
208,88637,1912,69,93,8,39
209,88637,1913,70,92,8,37
210,88637,1914,70,92,7,37
211,88637,1915,75,87,5,24
212,88637,1916,68,94,9,33
213,88637,1917,71,91,8,44
214,88637,1918,66,96,9,41
215,88637,1919,70,92,9,38
216,88637,1920,66,96,9,50
217,88637,1921,57,105,10,45
218,88637,1922,67,95,8,46
219,88637,1923,82,80,4,26
220,88637,1924,77,85,6,30
221,88637,1925,97,65,2,10
222,88637,1926,79,83,7,20
223,88637,1927,66,96,10,32
224,88637,1928,76,86,8,30
225,88637,1929,87,75,5,14
226,88637,1930,67,95,9,41
227,88637,1931,78,84,5,32
228,88637,1932,63,99,9,34
229,88637,1933,79,83,7,30
230,88637,1934,78,84,7,23
231,88637,1935,82,80,6,15
232,88637,1936,68,94,9,39
233,88637,1937,60,102,10,38
234,88637,1938,53,109,10,43
235,88637,1939,56,106,10,43
236,88637,1940,52,110,10,49
237,88637,1941,55,107,10,53
238,88637,1942,66,96,8,37
239,88637,1943,59,103,10,41
240,88637,1944,67,95,8,50
241,88637,1945,64,98,10,48
242,88637,1946,56,106,10,58
243,88637,1947,54,108,10,64
244,88637,1948,62,100,8,55
245,88637,1949,64,98,9,42
246,88287,1900,64,98,9,53
247,88287,1901,67,95,8,37
248,88287,1902,72,90,6,36
249,88287,1903,71,91,7,30
250,88287,1904,79,83,6,27
251,88287,1905,65,97,9,39
252,88287,1906,78,84,5,33
253,88287,1907,76,86,6,37
254,88287,1908,67,95,7,37
255,88287,1909,70,92,8,39
256,88287,1910,75,87,6,36
257,88287,1911,78,84,6,30
258,88287,1912,74,88,7,39
259,88287,1913,73,89,7,42
260,88287,1914,62,100,8,51
261,88287,1915,67,95,9,34
262,88287,1916,53,109,10,53
263,88287,1917,70,92,7,33
264,88287,1918,73,89,7,33
265,88120,1900,74,88,8,31
266,88120,1901,68,94,9,31
267,88120,1902,68,94,9,43
268,88120,1903,81,81,6,24
269,88120,1904,71,91,7,31
270,88120,1905,69,93,9,27
271,88120,1906,84,78,5,16
272,88120,1907,60,102,9,46
273,88120,1908,76,86,6,34
274,88120,1909,69,93,9,28
275,88120,1910,75,87,7,31
276,88120,1911,60,102,10,44
277,88120,1912,59,103,10,42
278,88120,1913,65,97,8,49
279,86322,1900,82,80,4,19
280,86322,1901,84,78,4,17
281,86322,1902,61,101,10,47
282,86322,1903,73,89,7,37
283,86322,1904,69,93,8,47
284,86322,1905,66,96,9,42
285,86322,1906,66,96,9,42
286,86322,1907,64,98,9,50
287,86322,1908,73,89,7,29
288,86322,1909,59,103,10,44
289,86322,1910,71,91,8,32
290,86322,1911,65,97,9,43
291,86322,1912,75,87,7,26
292,86322,1913,74,88,8,35
293,86322,1914,66,96,9,40
294,86322,1915,62,100,9,40
295,86322,1916,65,97,9,38
296,86322,1917,67,95,9,37
297,86322,1918,69,93,6,29
298,86322,1919,61,101,10,37
299,86322,1920,81,81,6,29
300,86322,1921,82,80,5,19
301,86322,1922,80,82,5,23
302,86322,1923,72,90,8,38
303,86322,1924,69,93,7,37
304,86322,1925,64,98,9,41
305,86322,1926,62,100,10,46
306,86322,1927,71,91,9,31
307,86322,1928,59,103,10,41
308,86322,1929,52,110,10,49
309,86322,1930,61,101,10,40
310,86322,1931,62,100,10,35
311,86322,1932,55,107,10,48
312,86322,1933,59,103,10,38
313,86322,1934,65,97,10,28
314,86322,1935,62,100,10,35
315,86322,1936,68,94,10,34
316,86322,1937,65,97,9,37
317,86322,1938,56,106,10,41
318,86322,1939,67,95,10,30
319,86322,1940,55,107,10,47
320,86322,1941,76,86,7,22
321,86322,1942,56,106,10,40
322,86322,1943,43,119,10,53
323,86322,1944,48,114,10,56
324,86322,1945,58,104,10,49
325,86322,1946,54,108,10,49
326,86322,1947,53,109,10,57
327,86322,1948,47,115,10,58
328,86322,1949,42,120,10,65
329,86322,1950,46,116,10,59
330,86322,1951,54,108,10,51
331,86322,1952,49,113,10,57
332,86322,1953,61,101,10,60
333,86322,1954,55,107,10,42
334,86322,1955,47,115,10,64
335,86322,1956,71,91,8,25
336,86322,1957,63,99,10,35
337,86322,1958,61,101,10,42
338,86322,1959,53,109,10,53
339,86322,1960,52,110,10,52
340,86322,1961,57,105,10,54
341,86322,1962,53,109,10,52
342,86322,1963,54,108,10,53
343,86322,1964,50,112,10,53
344,86322,1965,46,116,10,60
345,86322,1966,58,104,10,49
346,86322,1967,60,102,9,45
